Setup ID,Setup Time,Symbol,Tag,Entry Price,Weekly RSI,Hourly RSI,15m Confirmation Candle,15m Close,Previous 15m High,Status,Plus 1% Hit,Plus 2% Hit,Plus 3% Hit,Plus 5% Hit,Minus 1% Hit,Minus 2% Hit,Minus 3% Hit,Max Gain %,Max Loss %,1D Return %,3D Return %,5D Return %,Completed Time
NSE_REDINGTON_20260817_153923,2026-08-17 15:39:11,NSE:REDINGTON,Volume shocker,333.8,64.61,29.45,2026-08-17 15:15,333.8,333.35,COMPLETED,,,,,,,,,,,,,
NSE_LALPATHLAB_20260818_100630,2026-08-18 10:05:44,NSE:LALPATHLAB,Dashboard,1896.5,70.65,39.95,2026-08-18 09:45,1896.5,1885.1,ACTIVE,,,,,,,,0.14,-0.8,-0.49,-0.12,,
NSE_ATHERENERG_20260818_122137,2026-08-18 12:19:55,NSE:ATHERENERG,Dashboard,1465.4,76.52,31.23,2026-08-18 12:00,1465.4,1460.8,ACTIVE,,,,,YES,,,0.16,-1.55,-1.86,-0.23,,
NSE_J&KBANK_20260818_133708,2026-08-18 13:35:54,NSE:J&KBANK,Dashboard,151.02,53.21,41.73,2026-08-18 13:15,151.02,150.73,ACTIVE,,,,,YES,YES,YES,0.91,-3.13,-1.37,-1.33,,
NSE_ABB_20260819_102239,2026-08-19 10:21:42,NSE:ABB,Dashboard,7463.5,59.45,23.37,2026-08-19 10:00,7463.5,7456.5,ACTIVE,,,,,,,,0.62,-0.38,0.21,0.54,,
NSE_EXIDEIND_20260819_102239,2026-08-19 10:22:02,NSE:EXIDEIND,Dashboard,468.8,69.54,37.25,2026-08-19 10:00,468.8,467.05,ACTIVE,,,,,YES,YES,YES,-2.73,-4.2,-1.0,-3.31,,
NSE_WOCKPHARMA_20260819_120711,2026-08-19 12:07:07,NSE:WOCKPHARMA,Dashboard,1832.5,55.17,26.29,2026-08-19 11:45,1832.5,1829.2,ACTIVE,YES,YES,YES,,,,,3.63,2.02,-0.1,3.74,,
NSE_HSCL_20260819_130715,2026-08-19 13:06:44,NSE:HSCL,Dashboard,715.85,60.11,17.56,2026-08-19 12:45,715.85,715.8,ACTIVE,,,,,YES,YES,YES,-6.93,-8.64,-1.63,-7.49,,
ASTERDM_20260820_100856,2026-08-20 10:08:56,ASTERDM,Volume Shocker,785.7,54.67,18.25,2026-08-20 09:45,785.7,784.5,ACTIVE,,,,,YES,YES,YES,-2.38,-4.29,-3.07,,,
NSE_ADANIENSOL_20260820_102016,2026-08-20 10:19:32,NSE:ADANIENSOL,Dashboard,1555.2,60.07,34.82,2026-08-20 10:00,1555.2,1552.7,ACTIVE,,,,,YES,,,-0.02,-1.49,-0.86,,,
NSE_HONAUT_20260820_110719,2026-08-20 11:06:59,NSE:HONAUT,Dashboard,36200.0,52.55,36.15,2026-08-20 10:45,36200.0,35960.0,ACTIVE,YES,YES,,,,,,2.03,0.41,1.38,,,
NSE_LTM_20260821_100859,2026-08-21 10:08:34,NSE:LTM,,4462.5,50.71,27.12,2026-08-21 09:45,4462.5,4450.0,ACTIVE,YES,,,,,,,1.96,0.77,1.42,,,
NSE_SYRMA_20260821_103523,2026-08-21 10:35:13,NSE:SYRMA,,1440.0,66.74,26.85,2026-08-21 10:15,1440.0,1434.5,ACTIVE,YES,,,,,,,1.92,0.5,1.38,,,
NSE_LLOYDSME_20260821_135040,2026-08-21 13:50:14,NSE:LLOYDSME,,1863.1,59.58,30.39,2026-08-21 13:30,1863.1,1862.0,ACTIVE,,,,,YES,YES,,-0.31,-2.93,-1.69,,,
NSE_ANANTRAJ_20260824_145032,2026-08-24 14:49:36,NSE:ANANTRAJ,,615.8,58.86,28.73,2026-08-24 14:30,615.8,614.35,ACTIVE,,,,,YES,,,-0.02,-1.1,,,,
NSE_TATATECH_20260824_152055,2026-08-24 15:20:41,NSE:TATATECH,,798.2,59.58,30.78,2026-08-24 15:00,798.2,798.15,ACTIVE,,,,,YES,,,0.83,-1.53,,,,
NSE_RADICO_20260824_155107,2026-08-24 15:50:32,NSE:RADICO,,4600.0,83.4,33.34,2026-08-24 15:15,4600.0,4584.7,ACTIVE,,,,,,,,0.63,-0.62,,,,
