Tag,Setups,Completed,Active,+1% Hit Rate %,+2% Hit Rate %,+3% Hit Rate %,+5% Hit Rate %,-1% Hit Rate %,-2% Hit Rate %,-3% Hit Rate %,Average Max Gain %,Average Max Loss %,Average 1D Return %,Average 3D Return %,Average 5D Return %
UNTAGGED,150,144,6,3.33,3.33,3.33,2.0,0.67,0.67,0.0,6.15,3.06,0.0,0.0,0.0
"Volume Shocker, All Time High",4,3,1,25.0,25.0,0.0,0.0,0.0,0.0,0.0,2.85,1.52,0.0,0.0,0.0
Other,3,2,1,33.33,0.0,0.0,0.0,33.33,0.0,0.0,1.2,-1.11,0.0,0.0,0.0
Nifty Smallcap 250-TOP-3,1,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,1.2,-1.11,0.0,0.0,0.0
Volume Shocker,14,11,3,7.14,7.14,0.0,0.0,14.29,0.0,0.0,0.91,-0.42,0.0,0.0,0.0
Nifty-500-Top-10,1,0,1,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.18,-2.26,0.0,0.0,0.0
All Time High,3,2,1,0.0,0.0,0.0,0.0,33.33,33.33,33.33,0.06,-4.03,0.0,0.0,0.0
Dashboard,9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trend Breakout,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPO,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Strong Momentum,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Trend Breakout, Volume Shocker, All Time High",1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Volume Shocker, Watch for Entry",1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volume shocker,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Volume Shocker, 52 Week High",1,0,1,0.0,0.0,0.0,0.0,100.0,100.0,100.0,-1.74,-4.91,0.0,0.0,0.0
