Scan Time,Symbol,Tag,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Price Confirmation,Completed Hourly Close,Previous Hourly High,Hourly RSI Touched 30,15m Price Confirmation,Completed 15m Close,Previous 15m High,15m Confirmation Candle,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-09-11 14:49:38,NSE:ASTRAMICRO,,NSE_EQ|INE386C01029,1680.0,61.21,64.91,-3.7,2026-09-11 14:00,34.16,44.14,-9.98,NO,NO,1705.0,1709.8,YES,YES,1678.8,1678.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,SETUP,🔥 SETUP,Weekly RSI 61.21 > 50 + Hourly RSI touched 30 + 15m Close > Previous 15m High
2026-09-11 14:50:14,NSE:RRKABEL,,NSE_EQ|INE777K01022,2426.8,56.95,57.93,-0.98,2026-09-11 14:00,42.04,46.58,-4.54,NO,NO,2445.0,2445.0,YES,YES,2430.0,2424.2,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,SETUP,🔥 SETUP,Weekly RSI 56.95 > 50 + Hourly RSI touched 30 + 15m Close > Previous 15m High
2026-09-11 14:50:09,NSE:NAZARA,,NSE_EQ|INE418L01047,370.85,73.06,72.61,0.45,2026-09-11 14:00,47.35,55.39,-8.04,NO,NO,374.55,375.3,YES,YES,372.25,366.85,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,SETUP,🔥 SETUP,Weekly RSI 73.06 > 50 + Hourly RSI touched 30 + 15m Close > Previous 15m High
2026-09-11 14:50:26,NSE:WOCKPHARMA,,NSE_EQ|INE049B01025,2191.8,68.54,65.41,3.14,2026-09-11 14:00,49.34,57.76,-8.43,NO,NO,2219.9,2231.0,YES,YES,2192.5,2190.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,SETUP,🔥 SETUP,Weekly RSI 68.54 > 50 + Hourly RSI touched 30 + 15m Close > Previous 15m High
2026-09-11 14:50:02,NSE:MOTILALOFS,,NSE_EQ|INE338I01027,1027.5,64.13,65.49,-1.36,2026-09-11 14:00,50.05,37.71,12.34,YES,YES,1015.0,1012.9,YES,YES,1022.8,1021.5,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,SETUP,🔥 SETUP,Weekly RSI 64.13 > 50 + Hourly RSI touched 30 + 15m Close > Previous 15m High
2026-09-11 14:50:31,SUDEEPPHRM,,NSE_EQ|INE0QPI01025,1195.8,68.69,81.64,-12.95,2026-09-11 14:00,22.11,25.45,-3.34,NO,NO,1213.5,1213.5,YES,NO,1197.8,1230.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 68.69 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 1197.8 <= Previous High 1230.0)
2026-09-11 14:50:05,NSE:NAUKRI,,NSE_EQ|INE663F01032,1249.0,57.49,66.1,-8.61,2026-09-11 14:00,29.45,37.67,-8.22,NO,NO,1265.0,1274.0,YES,NO,1250.9,1251.5,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 57.49 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 1250.9 <= Previous High 1251.5)
2026-09-11 14:49:54,NSE:HFCL,,NSE_EQ|INE548A01028,230.65,69.97,70.36,-0.39,2026-09-11 14:00,31.11,36.4,-5.29,NO,NO,234.5,235.24,YES,NO,230.55,236.88,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 69.97 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 230.55 <= Previous High 236.88)
2026-09-11 14:50:12,NSE:PPLPHARMA,,NSE_EQ|INE0DK501011,211.97,67.18,69.1,-1.92,2026-09-11 14:00,33.07,32.99,0.08,YES,NO,211.95,214.58,NO,NO,211.89,213.01,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 67.18 > 50, but Hourly RSI has not touched 30 (current 33.07)"
2026-09-11 14:49:40,NSE:BEML,,NSE_EQ|INE258A01024,2015.1,61.27,64.49,-3.22,2026-09-11 14:00,33.77,36.59,-2.82,NO,NO,2029.0,2038.0,YES,NO,2015.5,2015.7,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 61.27 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 2015.5 <= Previous High 2015.7)
2026-09-11 14:49:33,NSE:ABB,,NSE_EQ|INE117A01022,7236.5,54.93,58.28,-3.35,2026-09-11 14:00,33.84,43.03,-9.19,NO,NO,7329.0,7334.0,YES,NO,7255.0,7303.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 54.93 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 7255.0 <= Previous High 7303.0)
2026-09-11 14:50:34,JYOTICNC,Trend Breakout,NSE_EQ|INE980O01024,990.25,64.5,66.12,-1.62,2026-09-11 14:00,34.29,42.08,-7.79,NO,NO,1003.5,1007.8,YES,NO,989.45,990.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 64.50 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 989.45 <= Previous High 990.0)
2026-09-11 14:50:38,ENGINERSIN,Volume Shocker,NSE_EQ|INE510A01028,268.55,62.59,67.95,-5.37,2026-09-11 14:00,34.58,41.59,-7.01,NO,NO,272.25,273.5,NO,NO,269.15,269.95,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 62.59 > 50, but Hourly RSI has not touched 30 (current 34.58)"
2026-09-11 14:50:40,CYIENT,Volume Shocker,NSE_EQ|INE136B01020,1063.9,62.07,66.93,-4.85,2026-09-11 14:00,34.7,42.56,-7.86,NO,NO,1076.7,1081.7,NO,NO,1065.7,1071.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 62.07 > 50, but Hourly RSI has not touched 30 (current 34.70)"
2026-09-11 14:50:32,PARAS,Volume Shocker,NSE_EQ|INE045601023,1426.9,67.84,67.41,0.43,2026-09-11 14:00,36.15,47.68,-11.53,NO,YES,1462.5,1454.0,NO,NO,1431.8,1438.8,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 67.84 > 50, but Hourly RSI has not touched 30 (current 36.15)"
2026-09-11 14:50:10,NSE:PARAS,,NSE_EQ|INE045601023,1427.4,67.86,67.41,0.45,2026-09-11 14:00,36.27,47.68,-11.41,NO,YES,1462.5,1454.0,NO,NO,1431.8,1438.8,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 67.86 > 50, but Hourly RSI has not touched 30 (current 36.27)"
2026-09-11 14:50:15,NSE:SAILIFE,,NSE_EQ|INE570L01029,1585.1,84.94,84.91,0.02,2026-09-11 14:00,37.68,39.39,-1.71,NO,NO,1591.5,1599.5,NO,NO,1585.8,1588.9,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 84.94 > 50, but Hourly RSI has not touched 30 (current 37.68)"
2026-09-11 14:50:07,NSE:NAVINFLUOR,,NSE_EQ|INE048G01026,8570.5,78.14,78.01,0.13,2026-09-11 14:00,37.71,51.87,-14.16,NO,YES,8718.0,8712.0,YES,NO,8569.0,8658.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 78.14 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 8569.0 <= Previous High 8658.0)
2026-09-11 14:50:28,NSE:ZYDUSLIFE,,NSE_EQ|INE010B01027,1120.0,57.57,57.57,0.0,2026-09-11 14:00,39.75,37.48,2.27,YES,NO,1117.8,1119.0,NO,NO,1121.3,1126.1,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 57.57 > 50, but Hourly RSI has not touched 30 (current 39.75)"
2026-09-11 14:49:57,NSE:KIRLOSENG,,NSE_EQ|INE146L01010,2172.1,60.65,62.16,-1.5,2026-09-11 14:00,40.16,51.32,-11.16,NO,NO,2225.0,2228.4,NO,NO,2172.3,2186.8,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 60.65 > 50, but Hourly RSI has not touched 30 (current 40.16)"
2026-09-11 14:49:44,NSE:CGCL,,NSE_EQ|INE180C01042,266.15,66.92,74.12,-7.2,2026-09-11 14:00,40.53,56.03,-15.5,NO,YES,274.15,272.95,NO,NO,266.55,266.85,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 66.92 > 50, but Hourly RSI has not touched 30 (current 40.53)"
2026-09-11 14:50:17,NSE:SONACOMS,,NSE_EQ|INE073K01018,787.75,70.84,71.14,-0.3,2026-09-11 14:00,41.01,55.08,-14.07,NO,NO,803.5,804.4,NO,NO,788.05,791.8,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 70.84 > 50, but Hourly RSI has not touched 30 (current 41.01)"
2026-09-11 14:49:47,NSE:DIVISLAB,,NSE_EQ|INE361B01024,9315.5,84.67,83.41,1.26,2026-09-11 14:00,41.43,54.97,-13.54,NO,YES,9438.5,9422.5,NO,NO,9315.0,9348.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 84.67 > 50, but Hourly RSI has not touched 30 (current 41.43)"
2026-09-11 14:50:55,GLAND,"Volume Shocker, 52 Week High, All Time High, Strong Momentum, Pullback Entry",NSE_EQ|INE068V01023,2919.2,72.83,73.59,-0.76,2026-09-11 14:00,42.02,48.15,-6.13,NO,NO,2950.0,2955.1,NO,NO,2918.6,2928.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 72.83 > 50, but Hourly RSI has not touched 30 (current 42.02)"
2026-09-11 14:49:51,NSE:GLAND,,NSE_EQ|INE068V01023,2920.6,72.91,73.59,-0.68,2026-09-11 14:00,42.26,48.15,-5.89,NO,NO,2950.0,2955.1,NO,NO,2918.6,2928.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 72.91 > 50, but Hourly RSI has not touched 30 (current 42.26)"
2026-09-11 14:49:53,NSE:HAL,,NSE_EQ|INE066F01020,4914.4,62.13,60.64,1.49,2026-09-11 14:00,42.43,47.78,-5.36,NO,NO,4950.0,4959.8,YES,NO,4922.3,4930.0,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,Weekly RSI 62.13 > 50 + Hourly RSI touched 30 + 15m price confirmation failed (Close 4922.3 <= Previous High 4930.0)
2026-09-11 14:49:37,NSE:ALIVUS,,NSE_EQ|INE03Q201024,1381.0,74.87,74.06,0.81,2026-09-11 14:00,42.74,47.79,-5.05,NO,NO,1390.0,1395.0,NO,NO,1384.4,1390.8,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 74.87 > 50, but Hourly RSI has not touched 30 (current 42.74)"
2026-09-11 14:49:46,NSE:CYIENTDLM,,NSE_EQ|INE055S01018,906.05,91.25,90.1,1.15,2026-09-11 14:00,43.45,48.22,-4.77,NO,NO,919.9,939.55,NO,NO,906.15,910.3,2026-09-11 14:30,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 91.25 > 50, but Hourly RSI has not touched 30 (current 43.45)"
